City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bilibino,RU,68.0546,166.4372,1.81,86,84,6.67,broken clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,20,6.91,few clouds
2,Ixtapa,MX,20.7,-105.2,77.0,69,1,11.5,clear sky
3,Williston,US,48.147,-103.618,68.0,18,30,5.01,scattered clouds
4,Praya,CV,14.9215,-23.5087,69.8,78,0,18.41,clear sky
5,Provideniya,RU,64.3833,-173.3,8.6,72,90,5.59,light snow
6,Natal,BR,-5.795,-35.2094,82.4,74,20,9.22,few clouds
7,Ushuaia,AR,-54.8,-68.3,51.8,58,20,13.8,few clouds
8,Constitucion,CL,-35.3333,-72.4167,56.17,92,19,9.91,few clouds
9,Saldanha,ZA,-33.0117,17.9442,59.0,82,80,5.75,broken clouds
10,Upernavik,GL,72.7868,-56.1549,26.67,74,100,7.07,overcast clouds
11,Winnemucca,US,40.973,-117.7357,73.4,7,1,13.8,clear sky
12,Cabo San Lucas,MX,22.8909,-109.9124,82.99,36,20,9.22,few clouds
13,Fairbanks,US,64.8378,-147.7164,10.99,66,75,8.05,broken clouds
14,Port Hardy,CA,50.6996,-127.4199,46.4,70,75,6.91,broken clouds
15,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,78,20,23.02,few clouds
16,Shawville,CA,45.6001,-76.4827,28.0,56,100,13.29,overcast clouds
17,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,70,75,13.8,broken clouds
18,Kahului,US,20.8947,-156.47,80.6,61,20,21.85,few clouds
19,Hilo,US,19.7297,-155.09,80.6,61,1,12.66,heavy intensity rain
20,Albany,US,42.6001,-73.9662,36.0,69,99,3.0,snow
21,Mahebourg,MU,-20.4081,57.7,78.8,89,40,3.44,light rain
22,Castro,BR,-24.7911,-50.0119,56.48,73,0,2.64,clear sky
23,Tiksi,RU,71.6872,128.8694,-8.25,98,100,10.58,overcast clouds
24,Makaha,US,21.4694,-158.2175,84.2,57,1,12.66,clear sky
25,Villa Maria,AR,-32.4075,-63.2402,69.01,63,88,1.01,overcast clouds
26,Barabinsk,RU,55.3571,78.357,21.07,79,100,18.88,overcast clouds
27,Whitehorse,CA,60.7161,-135.0538,30.99,69,75,3.44,light snow
28,Bluff,NZ,-46.6,168.3333,57.0,65,86,18.01,overcast clouds
29,Necochea,AR,-38.5473,-58.7368,63.0,77,57,3.0,broken clouds
30,Mataura,NZ,-46.1927,168.8643,57.0,65,97,18.01,overcast clouds
31,Bethel,US,41.3712,-73.414,42.01,61,93,1.01,overcast clouds
32,Faanui,PF,-16.4833,-151.75,82.62,69,84,8.72,broken clouds
