City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,1,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1,2,Ixtapa,MX,77.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
2,6,Natal,BR,82.4,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
3,12,Cabo San Lucas,MX,82.99,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
4,15,Arraial Do Cabo,BR,78.8,few clouds,-22.9661,-42.0278,Pousada Porto Praia
5,18,Kahului,US,80.6,few clouds,20.8947,-156.47,Maui Seaside Hotel
6,19,Hilo,US,80.6,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
7,21,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
8,24,Makaha,US,84.2,clear sky,21.4694,-158.2175,Makaha Resort
9,32,Faanui,PF,82.62,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
10,34,Mitsamiouli,KM,82.06,light rain,-11.3847,43.2844,Foyer ADM
11,41,Upata,VE,86.0,overcast clouds,8.0086,-62.3989,Posada Villa Nela
12,46,Lorengau,PG,82.94,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
14,53,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
15,60,Kapaa,US,80.6,moderate rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
16,65,Kavieng,PG,82.36,light rain,-2.5744,150.7967,Nusa Island Retreat
17,66,Hirara,JP,75.2,mist,24.8,125.2833,Hotel Atoll Emerald Miyakojima
18,70,Pacific Grove,US,82.4,clear sky,36.6177,-121.9166,Lovers Point Inn
19,79,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
20,80,Atuona,PF,81.1,scattered clouds,-9.8,-139.0333,Villa Enata
21,82,Jimeta,NG,83.25,overcast clouds,9.2833,12.4667,Yola International Hotel
22,87,Touros,BR,80.6,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
23,88,Victoria,HK,79.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
24,93,Butaritari,KI,82.18,light rain,3.0707,172.7902,Isles Sunset Lodge
25,94,Matara,LK,77.79,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
26,100,Road Town,VG,78.8,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
27,103,Trincomalee,LK,80.87,clear sky,8.5711,81.2335,Welcombe Hotel
28,104,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
29,106,Bartica,GY,80.6,few clouds,6.4,-58.6167,Relax Inn Hotel
30,111,Xuddur,SO,76.32,overcast clouds,4.1213,43.8894,Banjanay Hotel
31,115,Hithadhoo,MV,83.28,scattered clouds,-0.6,73.0833,Scoop Guest House
32,116,Rodrigues Alves,BR,84.2,scattered clouds,-7.737999999999999,-72.6509,Pousada Aconchego
33,121,Tubuala,PA,87.8,scattered clouds,9.5167,-79.0333,Río Nabagana
34,122,Ranong,TH,78.12,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
35,123,Saint-Philippe,RE,77.0,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
36,133,Manokwari,ID,78.98,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
37,134,Makakilo City,US,84.2,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
38,136,Saint-Georges,GD,80.6,few clouds,12.0564,-61.7485,Siesta Hotel
39,138,Karratha,AU,81.57,clear sky,-20.7377,116.8463,ibis Styles Karratha
40,141,Isangel,VU,82.99,moderate rain,-19.55,169.2667,Volcano Sea View Tree House
42,145,Oranjestad,AW,80.6,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
43,151,Bengkulu,ID,75.69,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
44,152,Sur,OM,82.8,clear sky,22.5667,59.5289,Sur Plaza Hotel
45,169,Carolina,PR,80.6,scattered clouds,18.3808,-65.9574,Motel Fantasy Star
46,170,Lompoc,US,75.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
