City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rocha,UY,2021-03-29 15:31:18,-34.4833,-54.3333,74.21,65,80,11.23
1,Hobart,AU,2021-03-29 15:26:42,-42.8794,147.3294,52.0,81,75,3.8
2,Bethel,US,2021-03-29 15:31:18,41.3712,-73.414,46.4,36,20,17.27
3,New Norfolk,AU,2021-03-29 15:31:18,-42.7826,147.0587,52.0,63,95,3.0
4,Caravelas,BR,2021-03-29 15:31:18,-17.7125,-39.2481,87.3,51,0,11.14
5,Mataura,NZ,2021-03-29 15:31:19,-46.1927,168.8643,51.01,95,100,1.66
6,Qaanaaq,GL,2021-03-29 15:31:19,77.484,-69.3632,-14.21,75,67,6.69
7,Mar Del Plata,AR,2021-03-29 15:31:19,-38.0023,-57.5575,66.2,68,20,13.8
8,Punta Arenas,CL,2021-03-29 15:31:20,-53.15,-70.9167,44.6,93,90,6.91
9,Puerto Ayora,EC,2021-03-29 15:31:20,-0.7393,-90.3518,81.0,83,40,10.36
10,Tasiilaq,GL,2021-03-29 15:31:20,65.6145,-37.6368,23.0,54,16,4.61
11,Cherskiy,RU,2021-03-29 15:31:21,68.75,161.3,-13.23,99,96,5.3
12,Forbes,AU,2021-03-29 15:31:21,-33.3833,148.0167,57.0,76,76,4.38
13,Nikolskoye,RU,2021-03-29 15:31:21,59.7035,30.7861,50.0,50,0,13.42
14,Lorengau,PG,2021-03-29 15:31:22,-2.0226,147.2712,82.47,77,89,8.88
15,Upernavik,GL,2021-03-29 15:31:22,72.7868,-56.1549,-2.79,57,94,5.41
16,East London,ZA,2021-03-29 15:31:22,-33.0153,27.9116,69.8,83,75,16.11
17,Castro,BR,2021-03-29 15:31:23,-24.7911,-50.0119,78.78,55,17,7.67
18,Jalu,LY,2021-03-29 15:31:23,29.0331,21.5482,70.03,22,20,13.13
19,Kodiak,US,2021-03-29 15:31:23,57.79,-152.4072,37.4,75,90,3.44
20,Derzhavinsk,KZ,2021-03-29 15:31:23,51.1,66.3167,19.87,94,99,7.14
21,Faya,SA,2021-03-29 15:31:24,18.3851,42.4509,71.6,30,0,14.97
22,Vaini,TO,2021-03-29 15:31:24,-21.2,-175.2,77.0,100,20,6.91
23,Port Elizabeth,ZA,2021-03-29 15:29:58,-33.918,25.5701,68.0,77,0,20.71
24,Norman Wells,CA,2021-03-29 15:31:24,65.282,-126.8329,-18.4,83,20,8.05
25,Hasanabad,IR,2021-03-29 15:31:25,36.5465,61.0543,53.6,50,60,6.91
26,Ushuaia,AR,2021-03-29 15:26:32,-54.8,-68.3,50.0,62,75,8.05
27,Turukhansk,RU,2021-03-29 15:31:25,65.8167,87.9833,-8.03,97,99,9.73
28,Yellowknife,CA,2021-03-29 15:31:25,62.456,-114.3525,-5.01,65,75,14.97
29,Hithadhoo,MV,2021-03-29 15:31:26,-0.6,73.0833,84.2,75,100,23.47
30,Atuona,PF,2021-03-29 15:31:26,-9.8,-139.0333,80.11,77,21,17.27
31,Port Alfred,ZA,2021-03-29 15:31:26,-33.5906,26.891,69.93,80,81,24.45
32,Narsaq,GL,2021-03-29 15:31:27,60.9167,-46.05,24.8,46,20,4.61
33,Khatanga,RU,2021-03-29 15:31:27,71.9667,102.5,-20.56,97,43,11.23
34,Butaritari,KI,2021-03-29 15:31:27,3.0707,172.7902,80.73,80,94,14.05
35,Bredasdorp,ZA,2021-03-29 15:31:28,-34.5322,20.0403,71.6,60,25,14.97
36,Vostok,RU,2021-03-29 15:31:28,46.4856,135.8833,31.26,98,100,4.43
37,Licheng,CN,2021-03-29 15:31:28,23.2955,113.8284,82.0,74,75,6.71
38,Luderitz,NA,2021-03-29 15:31:29,-26.6481,15.1594,68.0,70,0,11.59
